Rk,Date,Tm,,Opp,P,Time,,Description
1,10/4/18,BOS,@,BUF,1,6:33,EV,Goal by Zdeno Chara assisted by Brad Marchand and Charlie McAvoy
2,10/4/18,BOS,@,BUF,1,15:34,PP,Goal by Ryan Donato assisted by Brad Marchand and Patrice Bergeron
3,10/4/18,BOS,@,BUF,2,16:16,EV,Goal by David Pastrnak assisted by David Krejci and Brad Marchand
4,10/4/18,BOS,@,BUF,3,19:48,SH,Goal by Patrice Bergeron assisted by Brad Marchand
5,10/8/18,BOS,,OTT,1,17:12,PP,Goal by Patrice Bergeron assisted by Brad Marchand and David Pastrnak
6,10/8/18,BOS,,OTT,3,4:38,EV,Goal by Patrice Bergeron assisted by Brad Marchand and Charlie McAvoy
7,10/8/18,BOS,,OTT,3,18:22,EV,Goal by David Pastrnak assisted by Brad Marchand
8,10/11/18,BOS,,EDM,1,14:37,PP,Goal by Brad Marchand assisted by Matt Grzelcyk and Patrice Bergeron
9,10/13/18,BOS,,DET,2,16:20,PP,Goal by David Pastrnak assisted by Patrice Bergeron and Brad Marchand
10,10/13/18,BOS,,DET,3,2:05,EV,Goal by David Pastrnak assisted by Brad Marchand and Patrice Bergeron
11,10/17/18,BOS,@,CGY,2,13:45,EV,Goal by Brad Marchand assisted by Patrice Bergeron and David Pastrnak
12,10/18/18,BOS,@,EDM,3,11:26,EV,Goal by David Pastrnak assisted by Brad Marchand and Charlie McAvoy
13,10/23/18,BOS,@,OTT,3,5:31,EV,Goal by David Pastrnak assisted by Brad Marchand and Patrice Bergeron
14,10/30/18,BOS,@,CAR,2,19:42,PP,Goal by Brad Marchand assisted by Patrice Bergeron
15,10/30/18,BOS,@,CAR,3,5:23,EV,Goal by Brad Marchand assisted by Patrice Bergeron
16,11/5/18,BOS,,DAL,OT,4:29,PP,Goal by Brad Marchand assisted by David Krejci and Torey Krug
17,11/8/18,BOS,,VAN,2,17:18,PP,Goal by Jake Debrusk assisted by Torey Krug and Brad Marchand
18,11/10/18,BOS,,TOR,2,10:34,PP,Goal by David Pastrnak assisted by Brad Marchand and Patrice Bergeron
19,11/10/18,BOS,,TOR,3,14:04,PP,Goal by David Pastrnak assisted by Brad Marchand and Torey Krug
20,11/11/18,BOS,,VEG,2,0:58,EV,Goal by Brad Marchand assisted by Patrice Bergeron and David Pastrnak
21,11/17/18,BOS,@,ARI,1,2:45,EV,Goal by Jake Debrusk assisted by Brad Marchand
22,11/26/18,BOS,@,TOR,2,3:39,PP,Goal by David Pastrnak assisted by Brad Marchand and Torey Krug
23,11/26/18,BOS,@,TOR,2,14:22,EV,Goal by David Pastrnak assisted by Torey Krug and Brad Marchand
24,11/29/18,BOS,,NYI,2,12:09,PP,Goal by Brad Marchand assisted by David Pastrnak and Torey Krug
25,12/8/18,BOS,,TOR,2,8:54,PP,Goal by David Backes assisted by Brad Marchand and Torey Krug
26,12/8/18,BOS,,TOR,2,17:45,EV,Goal by Torey Krug assisted by Brad Marchand and David Krejci
27,12/8/18,BOS,,TOR,3,4:37,EV,Goal by David Krejci assisted by David Pastrnak and Brad Marchand
28,12/9/18,BOS,@,OTT,2,7:49,PP,Goal by Brad Marchand assisted by David Pastrnak and Torey Krug
29,12/9/18,BOS,@,OTT,OT,3:07,EV,Goal by Torey Krug assisted by David Krejci and Brad Marchand
30,12/11/18,BOS,,ARI,2,9:13,EV,Goal by David Pastrnak assisted by Brad Marchand and David Krejci
31,12/11/18,BOS,,ARI,2,11:31,EV,Goal by Brad Marchand assisted by David Pastrnak and David Krejci
32,12/11/18,BOS,,ARI,2,13:30,EV,Goal by Brad Marchand assisted by David Krejci and David Pastrnak
33,12/14/18,BOS,@,PIT,3,8:02,EV,Goal by David Krejci assisted by David Pastrnak and Brad Marchand
34,12/17/18,BOS,@,MTL,3,5:06,PP,Goal by Brad Marchand assisted by David Pastrnak and Torey Krug
35,12/20/18,BOS,,ANA,2,18:05,PP,Goal by Torey Krug assisted by Brad Marchand and David Pastrnak
36,12/20/18,BOS,,ANA,3,5:21,EV,Goal by David Krejci assisted by David Pastrnak and Brad Marchand
37,12/22/18,BOS,,NSH,1,15:10,EV,Goal by Patrice Bergeron assisted by Charlie McAvoy and Brad Marchand
38,12/22/18,BOS,,NSH,3,11:23,PP,Goal by Brad Marchand assisted by David Pastrnak and Patrice Bergeron
39,12/22/18,BOS,,NSH,3,14:09,EV,Goal by David Pastrnak assisted by Brad Marchand and Patrice Bergeron
40,12/23/18,BOS,@,CAR,1,2:40,PP,Goal by Ryan Donato assisted by Torey Krug and Brad Marchand
41,12/23/18,BOS,@,CAR,1,8:56,EV,Goal by Steven Kampfer assisted by Sean Kuraly and Brad Marchand
42,1/1/19,BOS,@,CHI,3,19:27,EV,Goal by Brad Marchand assisted by David Krejci
